asset_id,asset_name,ip_address,os,products
ASSET001,"web-prod-01","10.10.1.51","Ubuntu 22.04 LTS","Nginx, Grafana, Prometheus"
ASSET002,"db-prod-01","10.10.1.52","Windows Server 2022","Microsoft SQL Server, SolarWinds DPA"
ASSET003,"app-dev-01","192.168.2.15","Ubuntu 20.04 LTS","Docker, Jenkins, GitLab"
ASSET004,"dc-01","172.16.10.5","Windows Server 2019","Active Directory Domain Services"
ASSET005,"firewall-hq","10.0.0.1","Palo Alto PAN-OS","Palo Alto NGFW"
ASSET006,"api-gateway-01","10.10.2.101","Red Hat Enterprise Linux 9","Kong API Gateway, PostgreSQL"
ASSET007,"k8s-master-01","192.168.5.10","Ubuntu 22.04 LTS","Kubernetes, etcd"
ASSET008,"win-jumpbox-01","172.16.20.100","Windows Server 2022","Microsoft RDP"
ASSET009,"elk-stack-01","10.20.5.25","CentOS Stream 9","Elasticsearch, Logstash, Kibana"
ASSET010,"dev-db-01","192.168.2.16","Ubuntu 22.04 LTS","PostgreSQL, pgAdmin"
ASSET011,"web-prod-02","10.10.1.53","Ubuntu 22.04 LTS","Nginx, Grafana, Prometheus"
ASSET012,"backup-server","10.5.5.10","Windows Server 2019","Veeam Backup & Replication"
ASSET013,"ad-sync-01","172.16.10.6","Windows Server 2019","Azure AD Connect"
ASSET014,"load-balancer-01","10.10.1.5","Citrix ADC","Citrix ADC VPX"
ASSET015,"internal-wiki","192.168.10.20","Ubuntu 20.04 LTS","Confluence, Apache2"
ASSET016,"app-staging-01","192.168.3.15","Red Hat Enterprise Linux 9","JBoss EAP, Oracle Database Client"
ASSET017,"k8s-worker-01","192.168.5.11","Ubuntu 22.04 LTS","Kubernetes, Docker"
ASSET018,"linux-jumpbox-01","172.16.20.101","Ubuntu 22.04 LTS","OpenSSH Server"
ASSET019,"web-dev-01","192.168.2.20","Ubuntu 22.04 LTS","Apache2, PHP, MySQL"
ASSET020,"monitoring-server","10.20.5.26","Ubuntu 22.04 LTS","Zabbix Server, Zabbix Agent"
