CVE,CWE,descriptions
CVE-2024-21338,"CWE-787","Out-of-bounds Write"
CVE-2024-21413,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21410,"CWE-862","Missing Authorization"
CVE-2024-21339,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21345,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21411,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21340,"CWE-287","Improper Authentication"
CVE-2024-21412,"CWE-20","Improper Input Validation"
CVE-2024-21341,"CWE-416","Use After Free"
CVE-2024-21346,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21414,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21347,"CWE-125","Out-of-bounds Read"
CVE-2024-21415,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21348,"CWE-476","NULL Pointer Dereference"
CVE-2024-21416,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21349,"CWE-787","Out-of-bounds Write"
CVE-2024-21417,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21350,"CWE-862","Missing Authorization"
CVE-2024-21418,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21351,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21419,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21352,"CWE-287","Improper Authentication"
CVE-2024-21420,"CWE-20","Improper Input Validation"
CVE-2024-21353,"CWE-416","Use After Free"
CVE-2024-21421,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21354,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21422,"CWE-125","Out-of-bounds Read"
CVE-2024-21355,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21423,"CWE-476","NULL Pointer Dereference"
CVE-2024-21356,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21424,"CWE-787","Out-of-bounds Write"
CVE-2024-21357,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21425,"CWE-862","Missing Authorization"
CVE-2024-21358,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21426,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21359,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21427,"CWE-287","Improper Authentication"
CVE-2024-21360,"CWE-20","Improper Input Validation"
CVE-2024-21428,"CWE-416","Use After Free"
CVE-2024-21361,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21429,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21362,"CWE-125","Out-of-bounds Read"
CVE-2024-21430,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21363,"CWE-476","NULL Pointer Dereference"
CVE-2024-21431,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21364,"CWE-787","Out-of-bounds Write"
CVE-2024-21432,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21365,"CWE-862","Missing Authorization"
CVE-2024-21433,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21366,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21434,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21367,"CWE-287","Improper Authentication"
CVE-2024-21435,"CWE-20","Improper Input Validation"
CVE-2024-21368,"CWE-416","Use After Free"
CVE-2024-21436,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21369,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21437,"CWE-125","Out-of-bounds Read"
CVE-2024-21370,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21438,"CWE-476","NULL Pointer Dereference"
CVE-2024-21371,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21439,"CWE-787","Out-of-bounds Write"
CVE-2024-21372,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21440,"CWE-862","Missing Authorization"
CVE-2024-21373,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21441,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21374,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21442,"CWE-287","Improper Authentication"
CVE-2024-21375,"CWE-20","Improper Input Validation"
CVE-2024-21443,"CWE-416","Use After Free"
CVE-2024-21376,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
