mitigation_id,CVE,tactic,mitre_tactic_id,mitre_tactic_description,mitigation_description
MIT-001,"CVE-2024-21338","Patch Management","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Apply the latest security patches provided by the vendor immediately. This closes the known vulnerability exploited by attackers; additionally implement network segmentation to isolate affected systems and prevent lateral movement."
MIT-002,"CVE-2024-21413","Input Validation","TA0005","Defense Evasion: The adversary is trying to avoid being detected. This tactic consists of techniques that adversaries use to evade detection or avoid other defenses.","Update to the latest version. This tactic involves sanitizing all user-supplied input to prevent path traversal characters (e.g. '..') from being processed which stops unauthorized access to the file system."
MIT-003,"CVE-2024-21410","Access Control","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Enforce the Principle of Least Privilege by implementing strict role-based access control policies. Regularly audit user permissions to ensure they only have access to the resources necessary for their roles."
MIT-004,"CVE-2024-21339","Application Hardening","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Disable unnecessary command-line access for web applications to reduce the attack surface. Use a Web Application Firewall (WAF) as a compensating control to filter malicious OS commands from user input."
MIT-005,"CVE-2024-21345","Secure Coding Practices","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Implement bounds checking on all memory operations to ensure data stays within its allocated buffer. Where possible use memory-safe programming languages (like Rust or Go) to eliminate this class of vulnerability."
MIT-006,"CVE-2024-21411","Application Hardening","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Utilize anti-CSRF tokens in all state-changing forms and requests. This ensures that requests are legitimate and originate from the user's session not from a malicious site."
MIT-007,"CVE-2024-21340","User Account Management","TA0004","Privilege Escalation: The adversary is trying to gain higher-level permissions. This tactic represents techniques that adversaries use to gain higher-level permissions on a system or network.","Enforce multi-factor authentication (MFA) for all user accounts to add a layer of security beyond passwords. This ensures that even if credentials are stolen attackers cannot gain access. Disable default or weak credentials."
MIT-008,"CVE-2024-21412","Input Validation","TA0001","Initial Access: The adversary is trying to get into your environment. This tactic represents the vectors adversaries use to gain an initial foothold.","Validate and sanitize all input data on both client and server sides to prevent malicious data from being processed. Implement a strict Content Security Policy (CSP) to control which resources can be loaded by a web page."
MIT-009,"CVE-2024-21341","Secure Coding Practices","TA0002","Execution: The adversary is trying to run malicious code. This tactic represents techniques that result in adversary-controlled code running on a local or remote system.","Employ static (SAST) and dynamic (DAST) analysis tools during the development lifecycle to detect and remediate use-after-free vulnerabilities before deployment."
MIT-010,"CVE-2024-21346","Input Validation","TA0009","Collection: The adversary is trying to gather data of interest to their goal. This tactic represents techniques adversaries may use to gather information and the sources information is collected from.","Use parameterized queries or prepared statements for all database interactions. This separates the SQL command structure from the data making it impossible for an attacker to inject malicious SQL code."
