patch_id,CVE,description
PATCH-2201,"CVE-2024-21338","Security Update for Windows Server 2022 (KB5034129): Addresses remote code execution vulnerability."
PATCH-2202,"CVE-2024-21413","Security Update for macOS Sonoma 14.5: Fixes a kernel privilege escalation issue."
PATCH-2203,"CVE-2024-21410","USN-6502-1: Ubuntu 22.04 LTS security update for OpenSSH server vulnerability."
PATCH-2204,"CVE-2024-21339","RHSA-2024:1321: Red Hat Enterprise Linux 9 security update for sudo."
PATCH-2205,"CVE-2024-21345","Security Update for Windows Server 2019 (KB5034123): Mitigates a denial of service vulnerability in Hyper-V."
PATCH-2206,"CVE-2024-21411","DSA-5621-1: Debian 12 security update for the Linux kernel."
PATCH-2207,"CVE-2024-21340","Security Update for Windows Server 2022 (KB5034441): Secure Boot patch."
PATCH-2208,"CVE-2024-21412","CESA-2024:0555: CentOS Stream 9 security update for bind."
PATCH-2209,"CVE-2024-21341","USN-6505-1: Ubuntu 20.04 LTS security update for the Apache HTTP Server."
PATCH-2210,"CVE-2024-21346","Security Update for macOS Ventura 13.6: Addresses a vulnerability in WebKit."
PATCH-2211,"CVE-2024-21414","RHSA-2024:1325: Red Hat Enterprise Linux 8 patch for kernel vulnerabilities."
PATCH-2212,"CVE-2024-21347","Security Update for Windows Server 2019 (KB5034123): Addresses LSA spoofing vulnerability."
PATCH-2213,"CVE-2024-21415","USN-6508-1: Ubuntu 22.04 LTS update for glibc to fix multiple vulnerabilities."
PATCH-2214,"CVE-2024-21348","Security Update for Windows Server 2022 (KB5034129): Monthly security quality rollup."
PATCH-2215,"CVE-2024-21416","Security Update for macOS Sonoma 14.6: Patches vulnerabilities in ImageIO."
PATCH-2216,"CVE-2024-21349","DSA-5623-1: Debian 12 security update for Firefox ESR."
PATCH-2217,"CVE-2024-21417","RHSA-2024:1330: Red Hat Enterprise Linux 9 security update for openssl."
PATCH-2218,"CVE-2024-21350","Security Update for Windows Server 2019 (KB5034123): Cumulative update."
PATCH-2219,"CVE-2024-21418","USN-6510-1: Ubuntu 20.04 LTS security update for systemd."
PATCH-2220,"CVE-2024-21351","CESA-2024:0560: CentOS Stream 9 update for the kernel-rt source tree."
PATCH-2221,"CVE-2024-21419","Security Update for macOS Monterey 12.7: Addresses multiple vulnerabilities."
PATCH-2222,"CVE-2024-21352","Security Update for Windows Server 2022 (KB5034129): Fix for Kerberos security feature bypass."
PATCH-2223,"CVE-2024-21420","RHSA-2024:1333: Red Hat Enterprise Linux 8 security update for python3.9."
PATCH-2224,"CVE-2024-21353","USN-6512-1: Ubuntu 22.04 LTS security update for curl."
PATCH-2225,"CVE-2024-21421","DSA-5625-1: Debian 12 security update for mariadb-10.11."
PATCH-2226,"CVE-2024-21354","Security Update for Windows Server 2019 (KB5034123): .NET Framework security and quality rollup."
PATCH-2227,"CVE-2024-21422","Security Update for macOS Sonoma 14.7: Command-line tools update."
PATCH-2228,"CVE-2024-21355","CESA-2024:0565: CentOS Stream 9 security update for grub2."
