CVE,threat_groups,exploit_tool_kits
CVE-2024-21338,"APT28 (Fancy Bear)","Metasploit Framework"
CVE-2024-21413,"Lazarus Group","Cobalt Strike"
CVE-2024-21410,"Sandworm Team","PowerSploit"
CVE-2024-21339,"Cozy Bear (APT29)","Mimikatz"
CVE-2024-21345,"Turla (Venomous Bear)","Empire"
CVE-2024-21411,"Dragonfly (Energetic Bear)","Responder"
CVE-2024-21340,"Equation Group","DoublePulsar"
CVE-2024-21412,"The Shadow Brokers","EternalBlue"
CVE-2024-21341,"FIN7","CARBANAK"
CVE-2024-21346,"DarkSide","DarkSide Ransomware"
CVE-2024-21414,"REvil (Sodinokibi)","REvil Ransomware"
CVE-2024-21347,"Conti","Conti Ransomware"
CVE-2024-21415,"LockBit","LockBit 3.0"
CVE-2024-21348,"Wizard Spider","TrickBot"
CVE-2024-21416,"Magecart","Custom Skimmers"
CVE-2024-21349,"Rocke Group","XMRig"
CVE-2024-21417,"Panda (APT3)","Gh0st RAT"
CVE-2024-21350,"Mustang Panda","PlugX"
CVE-2024-21418,"Emissary Panda (APT27)","HyperBro"
CVE-2024-21351,"Stone Panda (APT10)","ANEL"
CVE-2024-21419,"Kitten (APT33)","Shamoon"
CVE-2024-21352,"Charming Kitten (APT35)","Pupy RAT"
CVE-2024-21420,"APT34 (OilRig)","Helminth"
CVE-2024-21353,"APT39 (Chafer)","Remexi"
CVE-2024-21421,"Silent Librarian (COBALT DICKENS)","Custom Phishing Kits"
CVE-2024-21354,"Gorgon Group","NjRAT"
CVE-2024-21422,"Patchwork","BADNEWS"
CVE-2024-21355,"Sidewinder","Sidewinder Framework"
CVE-2024-21423,"Donot Team","yty"
CVE-2024-21356,"Transparent Tribe (APT-C-50)","Crimson RAT"
CVE-2024-21424,"Gamaredon Group","Pteranodon"
CVE-2024-21357,"TA505","ServHelper"
CVE-2024-21425,"Cobalt Group","Cobalt Strike"
CVE-2024-21358,"Carbanak","CARBANAK"
CVE-2024-21426,"Anunak","Anunak Trojan"
CVE-2024-21359,"FIN8","POWERTON"
CVE-2024-21427,"FIN6","TRICKBOT"
CVE-2024-21360,"DPRK (North Korea)","WannaCry"
CVE-2024-21428,"Chinese-linked actors","Winnti"
CVE-2024-21361,"Russian-linked actors","NotPetya"
CVE-2024-21429,"Iranian-linked actors","Stuxnet"
CVE-2024-21362,"Vietnamese-linked actors","OceanLotus"
CVE-2024-21430,"APT28 (Fancy Bear)","Cobalt Strike"
CVE-2024-21363,"Lazarus Group","Metasploit Framework"
CVE-2024-21431,"Sandworm Team","PowerSploit"
CVE-2024-21364,"Cozy Bear (APT29)","Mimikatz"
CVE-2024-21432,"Turla (Venomous Bear)","Empire"
CVE-2024-21365,"Dragonfly (Energetic Bear)","Responder"
CVE-2024-21433,"Equation Group","DoublePulsar"
CVE-2024-21366,"The Shadow Brokers","EternalBlue"
CVE-2024-21434,"FIN7","CARBANAK"
CVE-2024-21367,"DarkSide","DarkSide Ransomware"
CVE-2024-21435,"REvil (Sodinokibi)","REvil Ransomware"
CVE-2024-21368,"Conti","Conti Ransomware"
CVE-2024-21436,"LockBit","LockBit 3.0"
CVE-2024-21369,"Wizard Spider","TrickBot"
CVE-2024-21437,"Magecart","Custom Skimmers"
CVE-2024-21370,"Rocke Group","XMRig"
CVE-2024-21438,"Panda (APT3)","Gh0st RAT"
CVE-2024-21371,"Mustang Panda","PlugX"
CVE-2024-21439,"Emissary Panda (APT27)","HyperBro"
CVE-2024-21372,"Stone Panda (APT10)","ANEL"
CVE-2024-21440,"Kitten (APT33)","Shamoon"
CVE-2024-21373,"Charming Kitten (APT35)","Pupy RAT"
CVE-2024-21441,"APT34 (OilRig)","Helminth"
CVE-2024-21374,"APT39 (Chafer)","Remexi"
