region,threat_group,targeted_sector,activity_summary,cve_id
Middle East,OilRig (APT34),"Government, Energy",Espionage activity focused on intellectual property theft from tech companies.,CVE-2024-60850
Eastern Europe,Fancy Bear (APT28),"Technology, Healthcare",Reconnaissance and network intrusions targeting critical infrastructure.,CVE-2024-70058
Eastern Europe,Stone Panda (APT10),Defense,Disinformation campaigns and influence operations on social media.,CVE-2024-10141
Southeast Asia,Stone Panda (APT10),"Technology, Healthcare",Increased spear-phishing campaigns observed targeting government entities.,CVE-2024-58302
Southeast Asia,Stone Panda (APT10),"Government, Energy",Espionage activity focused on intellectual property theft from tech companies.,CVE-2024-62654
Middle East,Lazarus Group,Defense,Increased spear-phishing campaigns observed targeting government entities.,CVE-2024-17555
North America,Stone Panda (APT10),"Government, Energy",Reconnaissance and network intrusions targeting critical infrastructure.,CVE-2024-62768
Middle East,OilRig (APT34),Critical Infrastructure,Disinformation campaigns and influence operations on social media.,CVE-2024-39690
Southeast Asia,Lazarus Group,Defense,Reconnaissance and network intrusions targeting critical infrastructure.,CVE-2024-57981
Middle East,Lazarus Group,Defense,Destructive malware deployed against financial institutions.,CVE-2024-83764
Southeast Asia,Lazarus Group,"Government, Energy",Destructive malware deployed against financial institutions.,CVE-2024-46475
Middle East,Stone Panda (APT10),Critical Infrastructure,Disinformation campaigns and influence operations on social media.,CVE-2024-90720
Southeast Asia,OilRig (APT34),"Government, Energy",Destructive malware deployed against financial institutions.,CVE-2024-47193
Middle East,Fancy Bear (APT28),Defense,Espionage activity focused on intellectual property theft from tech companies.,CVE-2024-10409
North America,Lazarus Group,"Financial, Government",Espionage activity focused on intellectual property theft from tech companies.,CVE-2024-43849
North America,OilRig (APT34),"Government, Energy",Reconnaissance and network intrusions targeting critical infrastructure.,CVE-2024-89455
Eastern Europe,OilRig (APT34),"Government, Energy",Espionage activity focused on intellectual property theft from tech companies.,CVE-2024-17558
Southeast Asia,Fancy Bear (APT28),Defense,Destructive malware deployed against financial institutions.,CVE-2024-82702
East Asia,Fancy Bear (APT28),"Government, Energy",Disinformation campaigns and influence operations on social media.,CVE-2024-88200
Eastern Europe,Stone Panda (APT10),"Technology, Healthcare",Reconnaissance and network intrusions targeting critical infrastructure.,CVE-2024-54348
Eastern Europe,OilRig (APT34),Critical Infrastructure,Disinformation campaigns and influence operations on social media.,CVE-2024-96777
Eastern Europe,Lazarus Group,Defense,Reconnaissance and network intrusions targeting critical infrastructure.,CVE-2024-15854
Eastern Europe,Lazarus Group,Critical Infrastructure,Increased spear-phishing campaigns observed targeting government entities.,CVE-2024-98855
Middle East,Lazarus Group,"Financial, Government",Disinformation campaigns and influence operations on social media.,CVE-2024-60151
Southeast Asia,OilRig (APT34),"Technology, Healthcare",Espionage activity focused on intellectual property theft from tech companies.,CVE-2024-55453
Middle East,Lazarus Group,Critical Infrastructure,Reconnaissance and network intrusions targeting critical infrastructure.,CVE-2024-69831
Eastern Europe,Stone Panda (APT10),"Technology, Healthcare",Reconnaissance and network intrusions targeting critical infrastructure.,CVE-2024-98381
North America,Fancy Bear (APT28),"Technology, Healthcare",Reconnaissance and network intrusions targeting critical infrastructure.,CVE-2024-87675
Eastern Europe,Stone Panda (APT10),Critical Infrastructure,Increased spear-phishing campaigns observed targeting government entities.,CVE-2024-31256
Southeast Asia,OilRig (APT34),"Government, Energy",Destructive malware deployed against financial institutions.,CVE-2024-76223
Southeast Asia,Stone Panda (APT10),"Technology, Healthcare",Disinformation campaigns and influence operations on social media.,CVE-2024-67674
Eastern Europe,OilRig (APT34),Defense,Destructive malware deployed against financial institutions.,CVE-2024-57375
Eastern Europe,Fancy Bear (APT28),"Technology, Healthcare",Destructive malware deployed against financial institutions.,CVE-2024-57541
North America,Lazarus Group,"Government, Energy",Disinformation campaigns and influence operations on social media.,CVE-2024-44652
Eastern Europe,OilRig (APT34),Critical Infrastructure,Destructive malware deployed against financial institutions.,CVE-2024-22757
Southeast Asia,Cozy Bear,Defense,Increased spear-phishing campaigns observed targeting government entities.,CVE-2024-37692
Southeast Asia,Fancy Bear (APT28),Critical Infrastructure,Espionage activity focused on intellectual property theft from tech companies.,CVE-2024-62782
Middle East,Stone Panda (APT10),"Financial, Government",Espionage activity focused on intellectual property theft from tech companies.,CVE-2024-53989
