threat_actors,latest_malware,global_alerts,cve_id
Lazarus Group,TrickBot,Alert: Zero-day vulnerability discovered in popular web browser.,CVE-2024-60850
Lazarus Group,Qakbot,Alert: New malware campaign exploiting a critical vulnerability.,CVE-2024-70058
Cozy Bear,Emotet,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-10141
Lazarus Group,Industroyer,Alert: New phishing campaign targeting financial institutions.,CVE-2024-58302
Dragonfly,Emotet,Alert: Ransomware attack targeting healthcare organizations.,CVE-2024-62654
Sandworm,TrickBot,Alert: Ransomware attack targeting healthcare organizations.,CVE-2024-17555
APT28,Industroyer,Alert: Zero-day vulnerability discovered in popular web browser.,CVE-2024-62768
Cozy Bear,Petya,Alert: New malware campaign exploiting a critical vulnerability.,CVE-2024-39690
Cozy Bear,TrickBot,Alert: Zero-day vulnerability discovered in popular web browser.,CVE-2024-57981
Dragonfly,TrickBot,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-83764
Dragonfly,TrickBot,Alert: Zero-day vulnerability discovered in popular web browser.,CVE-2024-46475
Cozy Bear,Industroyer,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-90720
APT28,Emotet,Alert: Zero-day vulnerability discovered in popular web browser.,CVE-2024-47193
Cozy Bear,Emotet,Alert: New malware campaign exploiting a critical vulnerability.,CVE-2024-10409
Lazarus Group,Qakbot,Alert: New malware campaign exploiting a critical vulnerability.,CVE-2024-43849
Sandworm,Industroyer,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-89455
Cozy Bear,TrickBot,Alert: Ransomware attack targeting healthcare organizations.,CVE-2024-17558
Lazarus Group,TrickBot,Alert: New phishing campaign targeting financial institutions.,CVE-2024-82702
APT28,Emotet,Alert: Zero-day vulnerability discovered in popular web browser.,CVE-2024-88200
Cozy Bear,Industroyer,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-54348
Lazarus Group,TrickBot,Alert: Zero-day vulnerability discovered in popular web browser.,CVE-2024-96777
Cozy Bear,TrickBot,Alert: New phishing campaign targeting financial institutions.,CVE-2024-15854
Sandworm,Qakbot,Alert: New phishing campaign targeting financial institutions.,CVE-2024-98855
APT28,Emotet,Alert: Ransomware attack targeting healthcare organizations.,CVE-2024-60151
Cozy Bear,TrickBot,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-55453
Lazarus Group,Industroyer,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-69831
Dragonfly,Qakbot,Alert: Zero-day vulnerability discovered in popular web browser.,CVE-2024-98381
Sandworm,Qakbot,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-87675
APT28,TrickBot,Alert: New phishing campaign targeting financial institutions.,CVE-2024-31256
Dragonfly,Emotet,Alert: Ransomware attack targeting healthcare organizations.,CVE-2024-76223
Cozy Bear,Qakbot,Alert: New phishing campaign targeting financial institutions.,CVE-2024-67674
APT28,Industroyer,Alert: Ransomware attack targeting healthcare organizations.,CVE-2024-57375
Dragonfly,TrickBot,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-57541
Lazarus Group,Industroyer,Alert: Increased activity from state-sponsored threat actors.,CVE-2024-44652
Cozy Bear,Emotet,Alert: Zero-day vulnerability discovered in popular web browser.,CVE-2024-22757
Dragonfly,Petya,Alert: Ransomware attack targeting healthcare organizations.,CVE-2024-37692
APT28,Qakbot,Alert: New malware campaign exploiting a critical vulnerability.,CVE-2024-62782
Sandworm,Petya,Alert: New malware campaign exploiting a critical vulnerability.,CVE-2024-53989
